rec,presence,site,year,month,day,hour,minute,species,songtype
20200315_190000.flac,0,Yat1,2020,3,15,19,0,sp44,Nocturnal Song
20200315_193000.flac,1,Yat1,2020,3,15,19,30,sp44,Nocturnal Song
20200315_200000.flac,0,Yat1,2020,3,15,20,0,sp44,Nocturnal Song
20200315_203000.flac,0,Yat1,2020,3,15,20,30,sp44,Nocturnal Song
20200315_210000.flac,0,Yat1,2020,3,15,21,0,sp44,Nocturnal Song
20200315_213000.flac,0,Yat1,2020,3,15,21,30,sp44,Nocturnal Song
20200315_220000.flac,0,Yat1,2020,3,15,22,0,sp44,Nocturnal Song
20200315_230000.flac,0,Yat1,2020,3,15,23,0,sp44,Nocturnal Song
20200315_233000.flac,0,Yat1,2020,3,15,23,30,sp44,Nocturnal Song
20200315_223000.flac,0,Yat1,2020,3,15,22,30,sp44,Nocturnal Song
20200316_180000.flac,0,Yat1,2020,3,16,18,0,sp44,Nocturnal Song
20200316_183000.flac,1,Yat1,2020,3,16,18,30,sp44,Nocturnal Song
20200316_190000.flac,1,Yat1,2020,3,16,19,0,sp44,Nocturnal Song
20200316_193000.flac,1,Yat1,2020,3,16,19,30,sp44,Nocturnal Song
20200316_200000.flac,1,Yat1,2020,3,16,20,0,sp44,Nocturnal Song
20200316_203000.flac,1,Yat1,2020,3,16,20,30,sp44,Nocturnal Song
20200316_210000.flac,0,Yat1,2020,3,16,21,0,sp44,Nocturnal Song
20200316_213000.flac,0,Yat1,2020,3,16,21,30,sp44,Nocturnal Song
20200316_220000.flac,0,Yat1,2020,3,16,22,0,sp44,Nocturnal Song
20200316_223000.flac,0,Yat1,2020,3,16,22,30,sp44,Nocturnal Song
20200316_230000.flac,0,Yat1,2020,3,16,23,0,sp44,Nocturnal Song
20200316_233000.flac,0,Yat1,2020,3,16,23,30,sp44,Nocturnal Song
20200317_180000.flac,0,Yat1,2020,3,17,18,0,sp44,Nocturnal Song
20200317_183000.flac,1,Yat1,2020,3,17,18,30,sp44,Nocturnal Song
