id,recording,site,year,month,day,hour,min,species,songtype,validated
84962855,20200321_063000.flac,Yat1,2020,3,21,6,30,sp46,Common Song,not present
84962856,20200624_150000.flac,Yat1,2020,6,24,15,0,sp46,Common Song,not present
84962862,20200308_010000.flac,Yat1,2020,3,8,1,0,sp46,Common Song,present
84962876,20200619_233000.flac,Yat1,2020,6,19,23,30,sp46,Common Song,present
84962877,20200708_190000.flac,Yat1,2020,7,8,19,0,sp46,Common Song,present
84962881,20200723_013000.flac,Yat1,2020,7,23,1,30,sp46,Common Song,present
84962896,20200308_013000.flac,Yat1,2020,3,8,1,30,sp46,Common Song,present
84962907,20201012_060000.flac,Yat1,2020,10,12,6,0,sp46,Common Song,not present
84962909,20200708_193000.flac,Yat1,2020,7,8,19,30,sp46,Common Song,present
84962913,20200620_000000.flac,Yat1,2020,6,20,0,0,sp46,Common Song,present
84962915,20200629_100000.flac,Yat1,2020,6,29,10,0,sp46,Common Song,not present
84962938,20200708_200000.flac,Yat1,2020,7,8,20,0,sp46,Common Song,present
84962941,20200723_023000.flac,Yat1,2020,7,23,2,30,sp46,Common Song,present
84962964,20200327_113000.flac,Yat1,2020,3,27,11,30,sp46,Common Song,not present
84962965,20200729_083000.flac,Yat1,2020,7,29,8,30,sp46,Common Song,not present
84962973,20200723_030000.flac,Yat1,2020,7,23,3,0,sp46,Common Song,present
84962975,20200708_203000.flac,Yat1,2020,7,8,20,30,sp46,Common Song,present
84962978,20200620_010000.flac,Yat1,2020,6,20,1,0,sp46,Common Song,present
84963007,20200729_090000.flac,Yat1,2020,7,29,9,0,sp46,Common Song,not present
84963008,20200708_210000.flac,Yat1,2020,7,8,21,0,sp46,Common Song,present
84963013,20201006_010000.flac,Yat1,2020,10,6,1,0,sp46,Common Song,present
84963046,20200708_213000.flac,Yat1,2020,7,8,21,30,sp46,Common Song,present
84963049,20200810_210000.flac,Yat1,2020,8,10,21,0,sp46,Common Song,present
84963056,20200624_183000.flac,Yat1,2020,6,24,18,30,sp46,Common Song,present
84963059,20200427_190000.flac,Yat1,2020,4,27,19,0,sp46,Common Song,present
84963066,20201012_083000.flac,Yat1,2020,10,12,8,30,sp46,Common Song,not present
84963074,20200729_100000.flac,Yat1,2020,7,29,10,0,sp46,Common Song,not present
84963077,20200708_220000.flac,Yat1,2020,7,8,22,0,sp46,Common Song,present
84963086,20200620_023000.flac,Yat1,2020,6,20,2,30,sp46,Common Song,present
84963094,20200624_190000.flac,Yat1,2020,6,24,19,0,sp46,Common Song,present
84963095,20200427_193000.flac,Yat1,2020,4,27,19,30,sp46,Common Song,present
84963104,20201012_090000.flac,Yat1,2020,10,12,9,0,sp46,Common Song,not present
84963107,20200402_190000.flac,Yat1,2020,4,2,19,0,sp46,Common Song,present
84963122,20200624_193000.flac,Yat1,2020,6,24,19,30,sp46,Common Song,present
84963130,20200427_200000.flac,Yat1,2020,4,27,20,0,sp46,Common Song,present
84963133,20200824_100000.flac,Yat1,2020,8,24,10,0,sp46,Common Song,not present
84963145,20200402_193000.flac,Yat1,2020,4,2,19,30,sp46,Common Song,present
84963147,20200723_060000.flac,Yat1,2020,7,23,6,0,sp46,Common Song,not present
84963159,20200624_200000.flac,Yat1,2020,6,24,20,0,sp46,Common Song,present
84963175,20200810_230000.flac,Yat1,2020,8,10,23,0,sp46,Common Song,present
84963179,20200402_200000.flac,Yat1,2020,4,2,20,0,sp46,Common Song,present
84963180,20200708_233000.flac,Yat1,2020,7,8,23,30,sp46,Common Song,present
84963185,20200817_063000.flac,Yat1,2020,8,17,6,30,sp46,Common Song,not present
84963186,20200624_203000.flac,Yat1,2020,6,24,20,30,sp46,Common Song,present
84963191,20200723_063000.flac,Yat1,2020,7,23,6,30,sp46,Common Song,not present
